Timepoint,Term,genes,FoldEnrichment,Pvalue,Category
Post-AAE,negative regulation of locomotion,161,1.36,0.0131,Other
Post-AAE,angiogenesis,170,1.36,0.008,Development & Growth
Post-AAE,chromatin organization,420,1.36,4.69e-11,RNA & Chromatin
Post-AAE,protein localization to membrane,156,1.35,0.0318,Other
Post-AAE,regulation of translation,179,1.35,0.00704,RNA & Chromatin
Post-AAE,muscle structure development,255,1.35,2.36e-5,Development & Growth
Post-AAE,regulation of supramolecular fiber organization,187,1.35,0.00404,Other
Post-AAE,response to peptide hormone,193,1.35,0.00272,Cell Signaling
Post-AAE,skeletal system development,252,1.35,4.57e-5,Development & Growth
Post-AAE,positive regulation of catabolic process,262,1.35,2.25e-5,RNA & Chromatin
Post-AAE,chromatin remodeling,326,1.35,2.32e-7,RNA & Chromatin
Post-AAE,cellular response to growth factor stimulus,217,1.34,6.63e-4,Development & Growth
Post-AAE,negative regulation of protein metabolic process,266,1.34,2.37e-5,General Regulation
Post-AAE,response to growth factor,231,1.34,3.44e-4,Development & Growth
Post-AAE,regulation of cell migration,454,1.34,5.68e-11,Neuronal Development
Post-AAE,post-transcriptional regulation of gene expression,253,1.34,9.71e-5,Other
Post-AAE,positive regulation of transcription by RNA polymerase II,605,1.34,1.24e-15,RNA & Chromatin
Post-AAE,metal ion transport,312,1.34,1.67e-6,Ion Transport
Post-AAE,regulation of cytoskeleton organization,259,1.34,6.47e-5,Other
Post-AAE,regulation of system process,276,1.34,2.23e-5,Other
Post-AAE,positive regulation of developmental process,630,1.33,4.26e-16,Development & Growth
Post-AAE,regulation of actin cytoskeleton organization,167,1.33,0.0454,Other
Post-AAE,cell migration,442,1.33,6.65e-10,Neuronal Development
Post-AAE,anatomical structure morphogenesis,1079,1.32,2.4e-29,Development & Growth
Post-AAE,regulation of actin filament-based process,187,1.32,0.0208,Other
Post-AAE,regulation of cellular localization,258,1.32,2.76e-4,General Regulation
Post-AAE,cellular response to nitrogen compound,286,1.32,5.11e-5,Other
Post-AAE,positive regulation of RNA metabolic process,864,1.32,9.43e-22,RNA & Chromatin
Post-AAE,negative regulation of intracellular signal transduction,350,1.32,9.77e-7,Cell Signaling
Post-AAE,cell-cell adhesion,261,1.32,2.73e-4,Adhesion & Junction
Post-AAE,cell-cell signaling,403,1.32,4.49e-8,Adhesion & Junction
Post-AAE,regulation of growth,280,1.31,1.92e-4,Development & Growth
Post-AAE,positive regulation of cell migration,257,1.31,8.39e-4,Neuronal Development
Post-AAE,regulation of cell development,385,1.31,4.02e-7,Development & Growth
Post-AAE,regulation of phosphorylation,204,1.31,0.0183,Other
Post-AAE,animal organ morphogenesis,461,1.31,4.2e-9,Development & Growth
Post-AAE,regulation of protein localization,421,1.31,5.66e-8,Other
Post-AAE,positive regulation of cell development,200,1.31,0.0305,Development & Growth
Post-AAE,response to nitrogen compound,476,1.3,2.78e-9,Other
Post-AAE,system development,1696,1.3,1.9e-45,Development & Growth
Post-AAE,regulation of cellular component biogenesis,490,1.3,1.78e-9,General Regulation
Post-AAE,regulation of developmental process,1172,1.3,2.13e-28,Development & Growth
Post-AAE,positive regulation of cell differentiation,397,1.3,5.38e-7,Development & Growth
Post-AAE,regulation of cellular component organization,1190,1.3,1.64e-28,General Regulation
Post-AAE,hemopoiesis,333,1.3,2.98e-5,Other
Post-AAE,circulatory system process,240,1.3,0.00585,Other
Post-AAE,positive regulation of RNA biosynthetic process,789,1.29,1.11e-16,RNA & Chromatin
Post-AAE,positive regulation of DNA-templated transcription,788,1.29,1.35e-16,Other
Post-AAE,intracellular signaling cassette,364,1.29,6.53e-6,Cell Signaling
Post-AAE,regulation of cell motility,466,1.29,2.41e-8,Other
Post-AAE,regulation of locomotion,486,1.29,1.31e-8,Other
Post-AAE,anatomical structure formation involved in morphogenesis,457,1.29,6.85e-8,Development & Growth
Post-AAE,negative regulation of transcription by RNA polymerase II,476,1.29,2.66e-8,RNA & Chromatin
Post-AAE,regulation of cell differentiation,724,1.29,2.23e-14,Development & Growth
Post-AAE,regulation of multicellular organismal development,656,1.29,1.14e-12,Development & Growth
Post-AAE,positive regulation of transport,390,1.29,3.09e-6,Other
Post-AAE,tissue morphogenesis,275,1.29,0.00169,Development & Growth
Post-AAE,multicellular organism development,1859,1.29,8.63e-47,Development & Growth
Post-AAE,morphogenesis of an epithelium,220,1.29,0.0316,Development & Growth
Post-AAE,negative regulation of RNA metabolic process,701,1.29,1.86e-13,RNA & Chromatin
Post-AAE,negative regulation of signaling,693,1.29,2.7e-13,Cell Signaling
Post-AAE,negative regulation of cell communication,692,1.28,4.35e-13,Ion Transport
Post-AAE,cellular response to endogenous stimulus,427,1.28,1.67e-6,Other
Post-AAE,negative regulation of signal transduction,645,1.28,1.95e-11,Cell Signaling
Post-AAE,positive regulation of cellular component organization,512,1.28,2.33e-8,General Regulation
Post-AAE,regulation of intracellular signal transduction,936,1.28,3.06e-18,Cell Signaling
Post-AAE,positive regulation of signaling,833,1.28,1.29e-15,Cell Signaling
Post-AAE,positive regulation of locomotion,270,1.28,0.00608,Other
Post-AAE,regulation of catabolic process,495,1.27,8.76e-8,RNA & Chromatin
Post-AAE,positive regulation of cell motility,262,1.27,0.0105,Other
Post-AAE,import into cell,325,1.27,4.44e-4,Other
Post-AAE,negative regulation of DNA-templated transcription,633,1.27,1.01e-10,Other
Post-AAE,positive regulation of intracellular signal transduction,529,1.27,2.16e-8,Cell Signaling
Post-AAE,positive regulation of cellular component biogenesis,233,1.27,0.0425,General Regulation
Post-AAE,negative regulation of RNA biosynthetic process,636,1.27,1.22e-10,RNA & Chromatin
Post-AAE,cell population proliferation,255,1.27,0.0192,Other
Post-AAE,positive regulation of cell communication,828,1.27,8.43e-15,Ion Transport
Post-AAE,localization within membrane,262,1.27,0.0174,Other
Post-AAE,intracellular protein transport,247,1.27,0.0338,Other
Post-AAE,regulation of biological quality,1384,1.27,5.22e-28,General Regulation
Post-AAE,protein modification by small protein conjugation,303,1.27,0.00322,Ion Transport
Post-AAE,cell adhesion,435,1.26,5.92e-6,Adhesion & Junction
Post-AAE,plasma membrane bounded cell projection organization,540,1.26,4.13e-8,Other
Post-AAE,negative regulation of gene expression,502,1.26,3.5e-7,Other
Post-AAE,intracellular signal transduction,783,1.26,5.39e-13,Cell Signaling
Post-AAE,regulation of cell adhesion,362,1.26,2.85e-4,Adhesion & Junction
Post-AAE,regulation of transport,722,1.26,1.44e-11,Other
Post-AAE,regulation of vesicle-mediated transport,256,1.26,0.0348,Other
Post-AAE,negative regulation of nucleobase-containing compound metabolic process,743,1.26,7.59e-12,RNA & Chromatin
Post-AAE,positive regulation of signal transduction,738,1.26,9.66e-12,Cell Signaling
Post-AAE,negative regulation of cell differentiation,305,1.26,0.00471,Development & Growth
Post-AAE,cell development,1044,1.26,2.73e-18,Development & Growth
Post-AAE,regulation of localization,907,1.26,3.39e-15,Other
Post-AAE,regulation of signaling,1628,1.26,5.73e-32,Cell Signaling
Post-AAE,regulation of cell communication,1631,1.26,5.08e-32,Ion Transport
Post-AAE,cell projection organization,561,1.26,7.57e-8,Other
Post-AAE,protein ubiquitination,266,1.25,0.0361,Other
Post-AAE,embryonic morphogenesis,270,1.25,0.0341,Development & Growth
Post-AAE,positive regulation of protein metabolic process,362,1.25,5.99e-4,General Regulation
Post-AAE,positive regulation of multicellular organismal process,759,1.25,1.7e-11,General Regulation
Post-AAE,negative regulation of developmental process,436,1.25,3.38e-5,Development & Growth
Post-AAE,negative regulation of macromolecule metabolic process,1177,1.25,3.99e-20,General Regulation
Post-AAE,monoatomic cation transmembrane transport,315,1.25,0.00778,Ion Transport
Post-AAE,regulation of transcription by RNA polymerase II,1179,1.25,1.16e-19,RNA & Chromatin
Post-AAE,regulation of organelle organization,529,1.25,1.37e-6,Other
Post-AAE,regulation of protein modification process,289,1.25,0.0279,Ion Transport
Post-AAE,regulation of protein metabolic process,688,1.25,1.45e-9,General Regulation
Post-AAE,embryo development,476,1.24,1.43e-5,Development & Growth
Post-AAE,protein modification by small protein conjugation or removal,347,1.24,0.0036,Ion Transport
Post-AAE,negative regulation of macromolecule biosynthetic process,1001,1.24,1.93e-15,General Regulation
Post-AAE,response to endogenous stimulus,534,1.24,1.77e-6,Other
Post-AAE,positive regulation of macromolecule metabolic process,1410,1.24,1.18e-23,General Regulation
Post-AAE,regulation of RNA metabolic process,1635,1.24,2.48e-28,RNA & Chromatin
Post-AAE,negative regulation of metabolic process,1267,1.24,6.07e-20,General Regulation
Post-AAE,cellular homeostasis,310,1.24,0.0242,Other
Post-AAE,negative regulation of biosynthetic process,1030,1.24,6.71e-15,Other
Post-AAE,post-translational protein modification,368,1.23,0.00387,RNA & Chromatin
Post-AAE,regulation of multicellular organismal process,1331,1.23,1.62e-20,General Regulation
Post-AAE,cellular localization,850,1.23,2.62e-11,Other
Post-AAE,regulation of signal transduction,1401,1.23,1.24e-21,Cell Signaling
Post-AAE,protein modification process,650,1.23,1.14e-7,Ion Transport
Post-AAE,protein localization to organelle,311,1.23,0.0394,Other
Post-AAE,positive regulation of macromolecule biosynthetic process,1138,1.23,4.91e-16,General Regulation
Post-AAE,positive regulation of cell population proliferation,406,1.23,0.00221,Other
Post-AAE,negative regulation of cellular component organization,329,1.23,0.0347,General Regulation
Post-AAE,positive regulation of metabolic process,1536,1.23,2.75e-23,General Regulation
Post-AAE,intracellular protein localization,818,1.22,7e-10,Other
Post-AAE,animal organ development,1278,1.22,5.95e-18,Development & Growth
Post-AAE,membrane organization,348,1.22,0.0214,Other
Post-AAE,intracellular transport,556,1.22,1.62e-5,Other
Post-AAE,response to hormone,357,1.22,0.02,Cell Signaling
Post-AAE,positive regulation of cellular process,2557,1.22,9.56e-46,General Regulation
Post-AAE,positive regulation of biosynthetic process,1184,1.22,7.65e-16,Other
Post-AAE,homeostatic process,681,1.22,2.58e-7,Other
Post-AAE,negative regulation of response to stimulus,770,1.22,1.15e-8,General Regulation
Post-AAE,anatomical structure development,2329,1.22,3.31e-39,Development & Growth
Post-AAE,regulation of DNA-templated transcription,1473,1.22,1.24e-20,Other
Post-AAE,regulation of RNA biosynthetic process,1478,1.22,1.16e-20,RNA & Chromatin
Post-AAE,regulation of nucleobase-containing compound metabolic process,1735,1.22,3.85e-25,RNA & Chromatin
Post-AAE,establishment of localization in cell,686,1.21,5.83e-7,Other
Post-AAE,monoatomic cation transport,360,1.21,0.0496,Ion Transport
Post-AAE,negative regulation of cellular process,2264,1.21,4.81e-35,General Regulation
Post-AAE,chemical homeostasis,412,1.21,0.00939,Other
Post-AAE,cellular response to oxygen-containing compound,456,1.21,0.00289,Other
Post-AAE,establishment of protein localization,570,1.21,8.91e-5,Other
Post-AAE,cell motility,518,1.21,4.98e-4,Other
Post-AAE,monoatomic ion transmembrane transport,370,1.21,0.0483,Ion Transport
Post-AAE,regulation of primary metabolic process,2251,1.2,1.05e-32,General Regulation
Post-AAE,response to oxygen-containing compound,664,1.2,9.18e-6,Other
Post-AAE,cellular developmental process,1620,1.2,2.09e-20,Development & Growth
Post-AAE,cell differentiation,1617,1.2,4.37e-20,Development & Growth
Post-AAE,negative regulation of biological process,2352,1.2,3.93e-34,General Regulation
Post-AAE,positive regulation of biological process,2667,1.2,1e-40,General Regulation
Post-AAE,regulation of cell population proliferation,709,1.2,3.35e-6,Other
Post-AAE,tissue development,767,1.2,1.19e-6,Development & Growth
Post-AAE,developmental process,2530,1.2,4.54e-36,Development & Growth
Post-AAE,protein transport,471,1.2,0.00813,Other
Post-AAE,macromolecule localization,985,1.19,3.41e-9,Other
Post-AAE,macromolecule modification,717,1.19,1.06e-5,Ion Transport
Post-AAE,response to abiotic stimulus,477,1.19,0.00974,Other
Post-AAE,regulation of gene expression,2110,1.19,4.32e-26,Other
Post-AAE,vesicle-mediated transport,568,1.19,0.00133,Other
Post-AAE,regulation of macromolecule biosynthetic process,2150,1.19,7.78e-26,General Regulation
Post-AAE,regulation of macromolecule metabolic process,2443,1.18,2.68e-30,General Regulation
Post-AAE,cell surface receptor signaling pathway,903,1.18,3.44e-7,Cell Signaling
Post-AAE,negative regulation of multicellular organismal process,485,1.18,0.0341,General Regulation
Post-AAE,regulation of biosynthetic process,2216,1.18,4.32e-25,Other
Post-AAE,positive regulation of gene expression,509,1.18,0.0233,Other
Post-AAE,nitrogen compound transport,647,1.18,9.96e-4,Other
Post-AAE,positive regulation of response to stimulus,982,1.18,2.23e-7,General Regulation
Post-AAE,cellular component organization,2447,1.17,2.11e-27,General Regulation
Post-AAE,cellular response to chemical stimulus,832,1.17,1.89e-5,Other
Post-AAE,regulation of response to stimulus,1756,1.17,1.66e-16,General Regulation
Post-AAE,regulation of metabolic process,2645,1.17,7.5e-30,General Regulation
Post-AAE,cellular response to stress,703,1.17,7.28e-4,Other
Post-AAE,localization,1918,1.17,4.33e-18,Other
Post-AAE,regulation of programmed cell death,638,1.17,0.00397,Other
Post-AAE,cellular component organization or biogenesis,2510,1.16,8.66e-25,General Regulation
Post-AAE,transport,1553,1.16,8.48e-12,Other
Post-AAE,regulation of apoptotic process,609,1.16,0.0287,Other
Post-AAE,establishment of localization,1645,1.16,1.81e-12,Other
Post-AAE,multicellular organismal process,2660,1.14,2.1e-21,General Regulation
Post-AAE,cellular component assembly,1043,1.14,4.39e-4,Other
Post-AAE,regulation of cellular process,4635,1.13,6.88e-49,General Regulation
Post-AAE,regulation of biological process,4807,1.13,2.28e-53,General Regulation
Post-AAE,biological regulation,4952,1.12,5.04e-54,General Regulation
Post-AAE,cellular component biogenesis,1117,1.11,0.0266,Other
Post-AAE,cell communication,2098,1.11,1.32e-7,Ion Transport
Post-AAE,signaling,2074,1.1,7.13e-7,Cell Signaling
Post-AAE,cellular response to stimulus,2512,1.09,2.23e-6,Other
Post-AAE,macromolecule metabolic process,2105,1.09,2.39e-4,General Regulation
Post-AAE,signal transduction,1899,1.08,0.0098,Cell Signaling
Post-AAE,cellular process,5985,1.07,1.22e-39,General Regulation
Post-AAE,metabolic process,2902,1.06,0.00173,General Regulation
Post-AAE,response to stimulus,3127,1.05,0.0165,Other
Post-AAE,biological_process,6679,1.05,1.86e-4,General Regulation
75 min Post-AAE,transmission of nerve impulse,16,4.3,0.00486,Synaptic Transmission
75 min Post-AAE,modulation of chemical synaptic transmission,60,1.97,0.00502,Synaptic Transmission
75 min Post-AAE,regulation of trans-synaptic signaling,60,1.97,0.00518,Synaptic Transmission
75 min Post-AAE,central nervous system development,101,1.69,0.00146,Neuronal Development
75 min Post-AAE,generation of neurons,111,1.59,0.011,Neuronal Development
75 min Post-AAE,nervous system development,209,1.58,6.68e-8,Neuronal Development
75 min Post-AAE,neuron differentiation,104,1.58,0.0271,Neuronal Development
75 min Post-AAE,negative regulation of RNA metabolic process,137,1.54,0.00256,RNA & Chromatin
75 min Post-AAE,negative regulation of nucleobase-containing compound metabolic process,144,1.5,0.00682,RNA & Chromatin
75 min Post-AAE,regulation of cell communication,305,1.44,3.51e-8,Ion Transport
75 min Post-AAE,regulation of signaling,303,1.43,7.8e-8,Cell Signaling
75 min Post-AAE,system development,303,1.43,1.49e-7,Development & Growth
75 min Post-AAE,multicellular organism development,333,1.41,2.35e-8,Development & Growth
75 min Post-AAE,regulation of signal transduction,254,1.37,5.82e-4,Cell Signaling
75 min Post-AAE,regulation of biological quality,242,1.36,0.00278,General Regulation
75 min Post-AAE,negative regulation of macromolecule metabolic process,208,1.36,0.031,General Regulation
75 min Post-AAE,positive regulation of macromolecule metabolic process,245,1.32,0.0189,General Regulation
75 min Post-AAE,negative regulation of cellular process,400,1.31,2.56e-6,General Regulation
75 min Post-AAE,regulation of RNA metabolic process,277,1.29,0.0287,RNA & Chromatin
75 min Post-AAE,negative regulation of biological process,409,1.28,3.16e-5,General Regulation
75 min Post-AAE,regulation of response to stimulus,312,1.28,0.0094,General Regulation
75 min Post-AAE,positive regulation of cellular process,430,1.26,9.79e-5,General Regulation
75 min Post-AAE,positive regulation of biological process,455,1.26,3.7e-5,General Regulation
75 min Post-AAE,anatomical structure development,388,1.25,0.00369,Development & Growth
75 min Post-AAE,regulation of primary metabolic process,375,1.23,0.0249,General Regulation
75 min Post-AAE,cellular component organization,417,1.23,0.00534,General Regulation
75 min Post-AAE,multicellular organismal process,462,1.22,0.00187,General Regulation
75 min Post-AAE,regulation of macromolecule metabolic process,407,1.21,0.0428,General Regulation
75 min Post-AAE,cellular component organization or biogenesis,424,1.2,0.036,General Regulation
75 min Post-AAE,regulation of cellular process,793,1.18,1.46e-9,General Regulation
75 min Post-AAE,regulation of biological process,816,1.17,2.08e-9,General Regulation
75 min Post-AAE,biological regulation,842,1.17,4.23e-10,General Regulation
75 min Post-AAE,cellular process,994,1.09,1.87e-5,General Regulation
75 min Post-AAE,biological_process,1098,1.06,1.6e-4,General Regulation
